name,num_game,avg_rating
"A & B Game Studios, LLC",1,8.75
A Crowd of Monsters,2,6.4
A Game From Low Polystan,1,10
A Jolly Corpse,1,8.11
A Mazeing Tower Defense,1,2.86
A Nostru,4,5.09
A Small Game AB,1,10
A Stranger Gravity,1,9.33
A Sweet Studio,2,7.31
A Trifle Odd,1,6.92
A and F studios,1,6.67
A-Escape,1,6.25
A. Hagen,1,9.68
A. Strazhev,1,7.24
A.D. Klumpp,1,10
A.Filimonov,1,2.5
A.J Starkey Enterprises,1,5.17
A.Lepunov,1,8.75
A.Y.std,1,7.26
A2G Studios,1,6.52
AA Games,1,10
AAAGAMES,3,6.03
AAD Productions,3,5.84
AAG Studio,2,8.25
AAKIOO,1,10
AB SOFT,1,0
AC3 Studio,1,8.12
ACE Team,1,8.48
ACreativeGame Studio,1,10
ADB,1,6.43
AEL Entertainment,1,5.77
AEY Inc. ,3,5
AFBIK Studio,16,6.76
AFY Games,1,6.38
AGC,1,3.5
AGM PLAYISM,50,7.99
AGP::Studios,1,3.88
AIGRIND,1,6.91
AIHASTO,2,8.48
AIXLAB,1,6.67
AJetBear Entertainment,1,7.32
AK Sommerville,1,7.5
AK84C,1,7.1
AKC,1,6.36
AKV7,1,10
AL Games,2,5.62
AL-GAME,2,4.89
ALIENS Corporation,1,8.75
ALLPlayer Group Ltd.,1,4.1
ALTER-BOY,1,7.96
ALU Interactive,1,5
AMG GAMES,6,9.27
AMIDEA Games,1,4.12
AMS Game Development Association,1,8.33
"AN GAMES Co.,Ltd",1,0
ANG People s.r.o.,1,8.42
ANPA.US,12,5.1
ANV Team,2,5.62
AO Games Studios,1,7.5
AO2Game,1,6.84
AP Thomson,1,8.75
APAS games,1,10
APG Studios LLC,1,5
APGal,1,10
APPLEMINT,1,10
AR Gaming,1,2.5
ARC SYSTEM WORKS,2,7.35
ARES Inc.,2,8.04
ARIKA,1,8.5
ARLOOPA Inc.,2,6.07
ARQUOIA,1,8.4
ARTE France,2,7.71
ARTLINK,1,10
ARTWARE Multimedia,1,6.67
ARVORE Immersive Experiences,1,9.05
ARVRCADE,1,3.91
ASBO Interactive,1,5.32
ASBO Interactive Ltd,1,8.89
ASGames,1,5.83
AT The Gate Team,1,8.64
ATC Games,2,3.2
ATLUS,1,8.95
ATOMIC BREATH,3,7.94
ATTACK MOUNTAIN,4,8.59
AURORA Games,1,6.84
